Mine ID,Mine Name_x,Commodity,Mine Status,Status Date,Type of Mine,Mine Name_y,Street,City,State,Zip Code,full_address,lat,lon
100894,Russellville Sand Pit,Construction Sand and Gravel,Abandoned,4/24/2009,Surface,Russellville Sand Pit,745 Sand Plant Road,Phil Campbell,Alabama,35581.0,"745 Sand Plant Road, Phil Campbell, Alabama 35581.0",,
101138,Scott Pit,Construction Sand and Gravel,Active,11/8/1993,Surface,Scott Pit,1322 Maron Spillway Road,Elmore,Alabama,36025.0,"1322 Maron Spillway Road, Elmore, Alabama 36025.0",,
101832,Pettis Pit,Construction Sand and Gravel,Abandoned,1/27/2020,Surface,Pettis Pit,Pettis Lane,Wallace,Alabama,36426.0,"Pettis Lane, Wallace, Alabama 36426.0",,
101983,Smith Sand Company Inc,Construction Sand and Gravel,Active,8/20/2010,Surface,Smith Sand Company Inc,6570 Spice Pond Road,Eight Mile,Alabama,36613.0,"6570 Spice Pond Road, Eight Mile, Alabama 36613.0",30.836739447249,-88.195271424351
102087,Cypress Pit,Construction Sand and Gravel,Active,12/27/1984,Surface,Cypress Pit,1235 Cuttoff Road,Moundville,Alabama,35474.0,"1235 Cuttoff Road, Moundville, Alabama 35474.0",,
102196,CHATTAHOOCHEE PIT,Construction Sand and Gravel,Abandoned,10/22/2007,Surface,CHATTAHOOCHEE PIT,Hwy. 95,Columbia,Alabama,36319.0,"Hwy. 95, Columbia, Alabama 36319.0",,
102200,Robison Mine & Mill,Construction Sand and Gravel,Abandoned,9/6/2023,Surface,Robison Mine & Mill,3036 Dinky Line Road,Detroit,Alabama,35552.0,"3036 Dinky Line Road, Detroit, Alabama 35552.0",34.019552739518,-88.110814799811
102529,Atmore Sand and Gravel,Construction Sand and Gravel,Abandoned,1/25/2013,Surface,Atmore Sand and Gravel,1090 Old Jack Spings Rd.,Atmore,Alabama,36502.0,"1090 Old Jack Spings Rd., Atmore, Alabama 36502.0",,
102563,Winfield Yard,Construction Sand and Gravel,Abandoned,1/6/2014,Surface,Winfield Yard,700 Blue Ridge Rd,Winfield,Alabama,35594.0,"700 Blue Ridge Rd, Winfield, Alabama 35594.0",,
102587,Scott Callen Sand & Gravel,Construction Sand and Gravel,Abandoned,3/27/2012,Surface,Scott Callen Sand & Gravel,879 US Hwy 80 East,Lowndes,Alabama,36752.0,"879 US Hwy 80 East, Lowndes, Alabama 36752.0",32.268860046125,-86.563370363618
102606,COGLE PIT,Construction Sand and Gravel,Active,11/9/1989,Surface,COGLE PIT,3163 Dallas Rd 17,Selma,Alabama,36701.0,"3163 Dallas Rd 17, Selma, Alabama 36701.0",32.346347737237,-87.059185640327
102642,BRADFORD GRAVEL PIT,Construction Sand and Gravel,Abandoned,5/13/2004,Surface,BRADFORD GRAVEL PIT,Kansas Road,Grove Hill,Alabama,36541.0,"Kansas Road, Grove Hill, Alabama 36541.0",,
102738,West Alabama Sand & Gravel,Construction Sand and Gravel,Active,8/25/1987,Surface,West Alabama Sand & Gravel,146 County Road 136,Fayette,Alabama,35555.0,"146 County Road 136, Fayette, Alabama 35555.0",33.758629534585,-87.789653928679
102757,Plaster Mine,Construction Sand and Gravel,Abandoned,5/20/2020,Surface,Plaster Mine,2501 Fulton Drive,Autaugaville,Alabama,36003.0,"2501 Fulton Drive, Autaugaville, Alabama 36003.0",32.443786965983,-86.667267341958
102794,Boe Road Pit,Construction Sand and Gravel,Abandoned,10/4/2021,Surface,Boe Road Pit,Boe Road,St Elmo,Alabama,36568.0,"Boe Road, St Elmo, Alabama 36568.0",,
102810,OAKMULGEE  CRUSHER,Construction Sand and Gravel,Active,7/22/2024,Surface,OAKMULGEE  CRUSHER,1000 SUNNY LANE,SELMA,Alabama,36701.0,"1000 SUNNY LANE, SELMA, Alabama 36701.0",32.399879560664,-87.09738376141
102814,Phenix City Mine,Construction Sand and Gravel,Active,2/7/2025,Surface,Phenix City Mine,1371 Brickyard Rd,Phenix City,Alabama,36867.0,"1371 Brickyard Rd, Phenix City, Alabama 36867.0",32.408278014394,-85.00149069171
102822,P & R Mining,Construction Sand and Gravel,Active,8/2/2006,Surface,P & R Mining,2068 Jack Rd.,Atmore,Alabama,36502.0,"2068 Jack Rd., Atmore, Alabama 36502.0",,
102852,Shorter Plant,Construction Sand and Gravel,Abandoned,3/1/2012,Surface,Shorter Plant,1522 Main Street,Shorter,Alabama,36075.0,"1522 Main Street, Shorter, Alabama 36075.0",,
102865,Tysonville Plant,Construction Sand and Gravel,Active,10/12/2021,Surface,Tysonville Plant,751 Boyd Road,Shorter,Alabama,36075.0,"751 Boyd Road, Shorter, Alabama 36075.0",,
102870,Pit #2,Construction Sand and Gravel,Abandoned,9/7/2017,Surface,Pit #2,Turkey Trot Rd.,Perdue Hill,Alabama,36470.0,"Turkey Trot Rd., Perdue Hill, Alabama 36470.0",,
102883,Dawson Pit,Construction Sand and Gravel,Active,3/25/2024,Surface,Dawson Pit,3533 Kelley Ave,Monroeville,Alabama,36460.0,"3533 Kelley Ave, Monroeville, Alabama 36460.0",,
102916,Pit  #1,Construction Sand and Gravel,Abandoned,4/22/2004,Surface,Pit  #1,18601 County Rd 27,Fairhope,Alabama,36532.0,"18601 County Rd 27, Fairhope, Alabama 36532.0",30.496655915436,-87.852661466832
102928,Tocwah Pit,Construction Sand and Gravel,Abandoned,7/31/2003,Surface,Tocwah Pit,1761 Hunter Loop Road,Montgomery,Alabama,36108.0,"1761 Hunter Loop Road, Montgomery, Alabama 36108.0",32.383781031086,-86.400332449443
102934,PIT #1 REPTON,Construction Sand and Gravel,Abandoned,10/11/2006,Surface,PIT #1 REPTON,Mile Marker 33 Hwy 41 North,Repton,Alabama,36475.0,"Mile Marker 33 Hwy 41 North, Repton, Alabama 36475.0",,
102936,PIT JACKSON,Construction Sand and Gravel,Abandoned,7/10/2020,Facility,PIT JACKSON,700 WATER WAY ROAD,JACKSON,Alabama,36545.0,"700 WATER WAY ROAD, JACKSON, Alabama 36545.0",,
102948,Dixie Sand and Gravel LLC,Construction Sand and Gravel,Abandoned,3/18/2009,Surface,Dixie Sand and Gravel LLC,2803 River Lakes Dr,Montgomery,Alabama,36110.0,"2803 River Lakes Dr, Montgomery, Alabama 36110.0",32.468301057795,-86.29933199583
102950,"Mobile Abrasives, Inc.",Construction Sand and Gravel,Abandoned,1/6/2015,Surface,"Mobile Abrasives, Inc.",6927 Mac Drive,Theodore,Alabama,36582.0,"6927 Mac Drive, Theodore, Alabama 36582.0",30.548810876331,-88.116354467511
102958,Jackson Creek Sand,Construction Sand and Gravel,Abandoned,3/4/2016,Surface,Jackson Creek Sand,11101 Alvin Miller Road,Chunchula,Alabama,36521.0,"11101 Alvin Miller Road, Chunchula, Alabama 36521.0",,
102959,Sand Plant #131,Construction Sand and Gravel,Abandoned,5/10/2005,Surface,Sand Plant #131,1669 Aldridge Gap Road,Guntersville,Alabama,35976.0,"1669 Aldridge Gap Road, Guntersville, Alabama 35976.0",34.320776331212,-86.400532480299
103005,Rabbit Creek Pit,Construction Sand and Gravel,Active,6/5/2012,Surface,Rabbit Creek Pit,700 Waterway Road,Jackson,Alabama,36545.0,"700 Waterway Road, Jackson, Alabama 36545.0",,
103023,Pollard Pit 1,Construction Sand and Gravel,Abandoned,1/18/2005,Surface,Pollard Pit 1,Pollard Pit,Pollard,Alabama,36441.0,"Pollard Pit, Pollard, Alabama 36441.0",,
103041,Turkey Creek Sand and Gravel Inc,Construction Sand and Gravel,Active,10/1/2005,Surface,Turkey Creek Sand and Gravel Inc,347 County Road 24,Winfield,Alabama,35594.0,"347 County Road 24, Winfield, Alabama 35594.0",,
103043,Ward Mine,Construction Sand and Gravel,Abandoned,2/4/2009,Surface,Ward Mine,7067 County Road 40,Shorter,Alabama,36075.0,"7067 County Road 40, Shorter, Alabama 36075.0",32.432547411324,-85.934635317106
103047,Blount Springs Sand Plant,Construction Sand and Gravel,Active,9/19/2012,Surface,Blount Springs Sand Plant,9741 US Hwy 31 South,Hayden,Alabama,35079.0,"9741 US Hwy 31 South, Hayden, Alabama 35079.0",33.943722756061,-86.782949748765
103082,Corte Pit,Construction Sand and Gravel,Abandoned,7/25/2023,Surface,Corte Pit,24297-C County Rd 13,Daphne,Alabama,36526.0,"24297-C County Rd 13, Daphne, Alabama 36526.0",,
103084,City Pit,Construction Sand and Gravel,Active,7/22/2024,Surface,City Pit,2155 Riverside Road,Montgomery,Alabama,36117.0,"2155 Riverside Road, Montgomery, Alabama 36117.0",32.416899245284,-86.166856818566
103086,BENCHMARK,Construction Sand and Gravel,Abandoned,1/28/2016,Surface,BENCHMARK,7787 County Rd. 73,Randolph,Alabama,36792.0,"7787 County Rd. 73, Randolph, Alabama 36792.0",,
103090,Poarch Pit,Construction Sand and Gravel,Abandoned,7/7/2011,Surface,Poarch Pit,7237 Jacks Springs Rd,Atmore,Alabama,36520.0,"7237 Jacks Springs Rd, Atmore, Alabama 36520.0",31.114079191445,-87.564285635069
103098,Waugh Pit,Construction Sand and Gravel,Abandoned,6/9/2019,Surface,Waugh Pit,18623 Hwy 80E,Pike Road,Alabama,36064.0,"18623 Hwy 80E, Pike Road, Alabama 36064.0",,
103099,Red Bluff-Waugh Plant,Construction Sand and Gravel,Abandoned,10/25/2010,Surface,Red Bluff-Waugh Plant,18663 Highway 80 East,Pike Road,Alabama,36064.0,"18663 Highway 80 East, Pike Road, Alabama 36064.0",,
103114,Wallace-Pit #3,Construction Sand and Gravel,Abandoned,4/13/2006,Surface,Wallace-Pit #3,Hwy 41,Wallace,Alabama,36426.0,"Hwy 41, Wallace, Alabama 36426.0",,
103123,Blanton Pit,Construction Sand and Gravel,Abandoned,6/8/2016,Surface,Blanton Pit,3826 BEAR CREEK ROAD,FRISCO CITY,Alabama,36445.0,"3826 BEAR CREEK ROAD, FRISCO CITY, Alabama 36445.0",,
103124,Lois Lane Pit,Construction Sand and Gravel,Abandoned,12/17/2015,Surface,Lois Lane Pit,Lois Lane,Atmore,Alabama,36502.0,"Lois Lane, Atmore, Alabama 36502.0",,
103130,B & R Sand & Gravel,Construction Sand and Gravel,Active,7/8/2010,Surface,B & R Sand & Gravel,5198 Alabama River Pkwy.,Montgomery,Alabama,36110.0,"5198 Alabama River Pkwy., Montgomery, Alabama 36110.0",32.437595069985,-86.312969223919
103132,Montgomery Pit,Construction Sand and Gravel,Abandoned,7/2/2009,Surface,Montgomery Pit,1588 Concrete Drive,Montgomery,Alabama,361100807.0,"1588 Concrete Drive, Montgomery, Alabama 361100807.0",,
103141,"Basic Sand & Gravel, Inc.",Construction Sand and Gravel,Abandoned,3/12/2002,Surface,"Basic Sand & Gravel, Inc.",1076 Jack Rd,Atmore,Alabama,36502.0,"1076 Jack Rd, Atmore, Alabama 36502.0",31.102614673372,-87.509600388829
103149,NASAG PIT 2,Construction Sand and Gravel,Active,4/14/1999,Surface,NASAG PIT 2,2113 CR#75,Phil Campbell,Alabama,35581.0,"2113 CR#75, Phil Campbell, Alabama 35581.0",,
103159,Rueggs Pit,Construction Sand and Gravel,Active,7/7/1999,Surface,Rueggs Pit,13406 Co Rd 65,Foley,Alabama,36535.0,"13406 Co Rd 65, Foley, Alabama 36535.0",30.420773337068,-87.717092741582
103167,WHITE SAND PIT,Construction Sand and Gravel,Abandoned,3/15/2005,Surface,WHITE SAND PIT,3974 County Rd. 14,Roanoke,Alabama,36276.0,"3974 County Rd. 14, Roanoke, Alabama 36276.0",33.125566657728,-85.32481398843
103169,Pecan Grove Plant,Construction Sand and Gravel,Abandoned,3/2/2010,Surface,Pecan Grove Plant,134 Redland Road,Wetumpka,Alabama,36093.0,"134 Redland Road, Wetumpka, Alabama 36093.0",32.460332195957,-86.192416708089
103171,Plant 3,Construction Sand and Gravel,Abandoned,11/22/2004,Facility,Plant 3,1 Main St,Whatley,Alabama,36482.0,"1 Main St, Whatley, Alabama 36482.0",,
103181,Anderson Road Materials LLC,Construction Sand and Gravel,Abandoned,7/7/2011,Surface,Anderson Road Materials LLC,1335 Anderson Road,Montgomery,Alabama,36110.0,"1335 Anderson Road, Montgomery, Alabama 36110.0",32.454717809127,-86.213262775545
103188,"Roberts Sand & Gravel, Inc.",Construction Sand and Gravel,Abandoned,6/29/2006,Surface,"Roberts Sand & Gravel, Inc.",2700 County Rd 30,Sardis,Alabama,36775.0,"2700 County Rd 30, Sardis, Alabama 36775.0",32.288078479811,-87.063808013674
103192,Dozier Mine,Construction Sand and Gravel,Abandoned,12/17/2012,Surface,Dozier Mine,125 Rifle Range Road,Montgomery,Alabama,36117.0,"125 Rifle Range Road, Montgomery, Alabama 36117.0",32.398071519097,-86.101994610383
103200,Culpepper Chert Pit,Construction Sand and Gravel,Abandoned,2/28/2023,Surface,Culpepper Chert Pit,1485 CR 82,Gaylesville,Alabama,35973.0,"1485 CR 82, Gaylesville, Alabama 35973.0",,
103201,Cash Pit,Construction Sand and Gravel,Abandoned,10/24/2005,Surface,Cash Pit,5200 AL Hwy. 183,Lawley,Alabama,36793.0,"5200 AL Hwy. 183, Lawley, Alabama 36793.0",,
103203,Paul Pit,Construction Sand and Gravel,Abandoned,2/26/2009,Surface,Paul Pit,Overton Rd.,Grove Hill,Alabama,36451.0,"Overton Rd., Grove Hill, Alabama 36451.0",,
103221,G&L SAND & GRAVEL,Construction Sand and Gravel,Abandoned,10/24/2003,Surface,G&L SAND & GRAVEL,928 Jack Rd.,Atmore,Alabama,36502.0,"928 Jack Rd., Atmore, Alabama 36502.0",31.09952480642,-87.513687912386
103223,White City Plant,Construction Sand and Gravel,Active,1/25/2013,Surface,White City Plant,1985 Co. Rd. 123,Marbury,Alabama,36051.0,"1985 Co. Rd. 123, Marbury, Alabama 36051.0",32.674223621861,-86.585738035203
103224,CALERA,Construction Sand and Gravel,Abandoned,1/15/2016,Facility,CALERA,1622 Hwy 84,Calera,Alabama,35040.0,"1622 Hwy 84, Calera, Alabama 35040.0",33.142719510003,-86.759452544046
103230,Plant #3,Construction Sand and Gravel,Abandoned,3/7/2005,Surface,Plant #3,412 N. Pickett St.,Autaugaville,Alabama,36003.0,"412 N. Pickett St., Autaugaville, Alabama 36003.0",32.439964940731,-86.658022897262
103233,Independence Pit,Construction Sand and Gravel,Abandoned,6/22/2012,Surface,Independence Pit,1278 County Road 19 No.,Prattville,Alabama,36067.0,"1278 County Road 19 No., Prattville, Alabama 36067.0",32.523518362225,-86.701538348979
103238,Sand Mountain Materials,"Sand, Common",Abandoned,4/19/2012,Surface,Sand Mountain Materials,4160 County Rd. 739,Ider,Alabama,35981.0,"4160 County Rd. 739, Ider, Alabama 35981.0",,
103239,Eady Sand & Gravel #1,Construction Sand and Gravel,Abandoned,3/16/2005,Surface,Eady Sand & Gravel #1,228 Ahern Rd.,Atmore,Alabama,36502.0,"228 Ahern Rd., Atmore, Alabama 36502.0",31.092306548009,-87.509085704164
103241,"Little Hawk Mining, LLC",Construction Sand and Gravel,Intermittent,7/30/2025,Surface,"Little Hawk Mining, LLC",1449 Experiment Farm Road,Monroeville,Alabama,36460.0,"1449 Experiment Farm Road, Monroeville, Alabama 36460.0",31.475082768569,-87.324698027171
103244,Poarch Sand & Gravel-Little River Pit,Construction Sand and Gravel,Abandoned,3/18/2005,Surface,Poarch Sand & Gravel-Little River Pit,Antebellum Lake,Little River,Alabama,36550.0,"Antebellum Lake, Little River, Alabama 36550.0",,
103248,Jackson Plant 713,Construction Sand and Gravel,Active,2/7/2007,Surface,Jackson Plant 713,784 Ryland Pike Road,Jackson,Alabama,36473.0,"784 Ryland Pike Road, Jackson, Alabama 36473.0",,
103251,Baldwin Aggregate Pit 1,Construction Sand and Gravel,Abandoned,11/2/2002,Surface,Baldwin Aggregate Pit 1,2395 Shiloh Road,Frisco City,Alabama,36579.0,"2395 Shiloh Road, Frisco City, Alabama 36579.0",31.419886757897,-87.49676915476
103252,Garrett Pit,Construction Sand and Gravel,Abandoned,2/6/2003,Surface,Garrett Pit,County Rd. 10,Frisco,Alabama,36579.0,"County Rd. 10, Frisco, Alabama 36579.0",,
103253,Big Sandy Pit,Construction Sand and Gravel,Abandoned,7/30/2004,Surface,Big Sandy Pit,11569 Skelton Road,Duncanville,Alabama,35456.0,"11569 Skelton Road, Duncanville, Alabama 35456.0",33.10473944558,-87.467155467342
103256,Weekley Pit,"Sand, Common",Abandoned,10/12/2004,Surface,Weekley Pit,15720 May Tower Road,Bay Minette,Alabama,36507.0,"15720 May Tower Road, Bay Minette, Alabama 36507.0",31.000482351777,-87.756098411275
103272,Red Bluff Pit,Construction Sand and Gravel,Abandoned,9/3/2024,Surface,Red Bluff Pit,1740  South Memorial Dr.,Prattville,Alabama,36067.0,"1740  South Memorial Dr., Prattville, Alabama 36067.0",,
103274,Cavender Pit,Construction Sand and Gravel,Abandoned,1/29/2008,Surface,Cavender Pit,282 Gravel Pit Rd,Haleyville,Alabama,35565.0,"282 Gravel Pit Rd, Haleyville, Alabama 35565.0",,
103287,Pit #1,"Sand, Common",Abandoned,6/28/2006,Surface,Pit #1,Old Pascagoula Rd,Grand Bay,Alabama,36541.0,"Old Pascagoula Rd, Grand Bay, Alabama 36541.0",,
103289,Parker Pit,"Sand, Common",Abandoned,3/18/2005,Surface,Parker Pit,Rocky Ranch Road,Frisco City,Alabama,36445.0,"Rocky Ranch Road, Frisco City, Alabama 36445.0",,
103290,Reed Pit #5101,Construction Sand and Gravel,Abandoned,12/28/2012,Surface,Reed Pit #5101," Old Stage Rd N, Hwy 84",Repton ,Alabama,36475.0," Old Stage Rd N, Hwy 84, Repton , Alabama 36475.0",,
103291,Johnson Pit,Construction Sand and Gravel,Abandoned,7/13/2007,Surface,Johnson Pit,Arena Rd,Excel,Alabama,36439.0,"Arena Rd, Excel, Alabama 36439.0",,
103296,Lake Mitchell,"Sand, Common",Abandoned,2/10/2009,Surface,Lake Mitchell,19741 Wilters Street,Robertsdale,Alabama,36567.0,"19741 Wilters Street, Robertsdale, Alabama 36567.0",30.553044672501,-87.687049983979
103297,Pit #1,"Sand, Common",Abandoned,8/18/2006,Surface,Pit #1,River Road,Foley,Alabama,36535.0,"River Road, Foley, Alabama 36535.0",,
103302,Sardine South Pit #5100,"Sand, Common",Abandoned,3/11/2015,Surface,Sardine South Pit #5100,Alger Road,Atmore,Alabama,36502.0,"Alger Road, Atmore, Alabama 36502.0",,
103307,Pit #2,Construction Sand and Gravel,Abandoned,12/1/2008,Surface,Pit #2,1565 Autauga Rd 24,Billingsley,Alabama,36006.0,"1565 Autauga Rd 24, Billingsley, Alabama 36006.0",32.668078231299,-86.6848628157
103308,"Southeast Sand Co., LLC",Construction Sand and Gravel,Abandoned,1/10/2006,Surface,"Southeast Sand Co., LLC",6674 County Rd. 42,Akron,Alabama,35441.0,"6674 County Rd. 42, Akron, Alabama 35441.0",,
103313,Griffin Pit,"Sand, Common",Abandoned,2/6/2007,Surface,Griffin Pit,County Rd 2,Jackson,Alabama,36545.0,"County Rd 2, Jackson, Alabama 36545.0",,
103314,Blakeley Island Sales Yard,"Sand, Common",Abandoned,5/27/2005,Facility,Blakeley Island Sales Yard,1767 Cochran Bridge Causeway,Mobile,Alabama,36660.0,"1767 Cochran Bridge Causeway, Mobile, Alabama 36660.0",,
103316,Mims Pit,"Sand, Common",Abandoned,1/31/2023,Surface,Mims Pit,2125 Co. Rd 19 N,Prattville,Alabama,36067.0,"2125 Co. Rd 19 N, Prattville, Alabama 36067.0",32.648820151338,-86.662801085954
103317,Saraland Crusher,Construction Sand and Gravel,Abandoned,8/19/2008,Surface,Saraland Crusher,1370 Hwy 43 South,Saraland,Alabama,36571.0,"1370 Hwy 43 South, Saraland, Alabama 36571.0",,
103324,"Baldwin Sand & Gravel, LLC.",Construction Sand and Gravel,Active,3/3/2014,Surface,"Baldwin Sand & Gravel, LLC.",8303 Roy Waters Road,Foley,Alabama,36535.0,"8303 Roy Waters Road, Foley, Alabama 36535.0",30.345947821756,-87.742523226207
103325,P & R Mining 1,"Sand, Common",Abandoned,7/27/2007,Surface,P & R Mining 1,6600 Edward Ewing Ln,Bon Secour,Alabama,36511.0,"6600 Edward Ewing Ln, Bon Secour, Alabama 36511.0",30.319709190957,-87.738137844812
103327,Coosa Plant,"Sand, Common",Active,7/6/2005,Surface,Coosa Plant,246 Boatfield Lane,Gadsden,Alabama,35901.0,"246 Boatfield Lane, Gadsden, Alabama 35901.0",34.038430394956,-85.839408946999
103328,Foley Pit,"Sand, Common",Abandoned,11/30/2011,Surface,Foley Pit,CR-26,Foley,Alabama,36535.0,"CR-26, Foley, Alabama 36535.0",,
103329,Jackson Pit #2,"Sand, Common",Abandoned,9/12/2013,Surface,Jackson Pit #2,Ryland Pike Drive,Jackson,Alabama,36545.0,"Ryland Pike Drive, Jackson, Alabama 36545.0",,
103330,Baton Rouge Plant,"Sand, Common",Abandoned,12/18/2007,Surface,Baton Rouge Plant,300 Baton Rouge Rd,Jackson,Alabama,36545.0,"300 Baton Rouge Rd, Jackson, Alabama 36545.0",,
103331,Landsdown,"Sand, Common",Active,1/13/2021,Surface,Landsdown,170 County Road 40E,"Lowndesboro,",Alabama,36752.0,"170 County Road 40E, Lowndesboro,, Alabama 36752.0",32.324707682857,-86.615975800776
103333,Deatsville Pit,Construction Sand and Gravel,Abandoned,9/14/2016,Surface,Deatsville Pit,283 Cypress Road,Deatsville,Alabama,36022.0,"283 Cypress Road, Deatsville, Alabama 36022.0",,
103345,Cooper Pit,Construction Sand and Gravel,Abandoned,5/15/2024,Surface,Cooper Pit,4317 Butler Street,Frisco City,Alabama,36445.0,"4317 Butler Street, Frisco City, Alabama 36445.0",31.38641599376,-87.382204251666
103348,Excel Pit,"Sand, Common",Abandoned,12/20/2006,Surface,Excel Pit,495 ROCKY RANCH LANE,EXCEL,Alabama,36439.0,"495 ROCKY RANCH LANE, EXCEL, Alabama 36439.0",,
103350,Sardine North Pit #5102,"Sand, Common",Abandoned,9/30/2007,Surface,Sardine North Pit #5102,Alger Road,Atmore,Alabama,36502.0,"Alger Road, Atmore, Alabama 36502.0",,
103352,Smith Mine,Construction Sand and Gravel,Active,7/5/2017,Surface,Smith Mine,7668 County Road 24,Clanton,Alabama,35045.0,"7668 County Road 24, Clanton, Alabama 35045.0",32.740628739779,-86.599713816578
103354,Viking Pit,Construction Sand and Gravel,Abandoned,8/1/2008,Surface,Viking Pit,3523 Woods Rd,Atmore,Alabama,36502.0,"3523 Woods Rd, Atmore, Alabama 36502.0",31.051865613742,-87.530592811894
103357,Phenix City Plant II,Construction Sand and Gravel,Active,3/25/2019,Surface,Phenix City Plant II,400 State Docks Road,Phenix City,Alabama,36869.0,"400 State Docks Road, Phenix City, Alabama 36869.0",,
103359,Livingston Aggregate Mine,Construction Sand and Gravel,Abandoned,2/23/2021,Surface,Livingston Aggregate Mine,12160 Upper Hull Road,Moundville,Alabama,35474.0,"12160 Upper Hull Road, Moundville, Alabama 35474.0",33.05507779385,-87.594205968839
103363,Lambert Materials,Construction Sand and Gravel,Active,10/5/2007,Surface,Lambert Materials,1552 Banks McDade Rd.,Shorter,Alabama,36075.0,"1552 Banks McDade Rd., Shorter, Alabama 36075.0",,
103367,Circle C Farms Pit,"Sand, Common",Abandoned,6/15/2011,Surface,Circle C Farms Pit,3572 Washington Ferry Road,Montgomery,Alabama,36108.0,"3572 Washington Ferry Road, Montgomery, Alabama 36108.0",32.393457656563,-86.376918342117
103369,King Pit,Construction Sand and Gravel,Abandoned,10/1/2013,Surface,King Pit,3025  Excel-Frisco,Excel,Alabama,36439.0,"3025  Excel-Frisco, Excel, Alabama 36439.0",,
103379,Pace Sand & Gravel,Construction Sand and Gravel,Abandoned,1/24/2011,Surface,Pace Sand & Gravel,Welka Road,Flomaton,Alabama,36441.0,"Welka Road, Flomaton, Alabama 36441.0",,
103382,Sterling Materials Inc.,Construction Sand and Gravel,Abandoned,1/29/2010,Surface,Sterling Materials Inc.,19577 George Thomley Road,Perdido,Alabama,36562.0,"19577 George Thomley Road, Perdido, Alabama 36562.0",31.058810398547,-87.695581525101
103383,Alabama Pit,Construction Sand and Gravel,Abandoned,3/1/2013,Surface,Alabama Pit,Alley 5 Road Dead End,Flomaton,Alabama,36441.0,"Alley 5 Road Dead End, Flomaton, Alabama 36441.0",,
103385,Demopolis Sand Operation,"Sand, Common",Abandoned,4/16/2021,Surface,Demopolis Sand Operation,Lock 4 Road,Demopolis,Alabama,36732.0,"Lock 4 Road, Demopolis, Alabama 36732.0",,
103386,Lynn Nolen Construction,Construction Sand and Gravel,Active,12/4/2019,Surface,Lynn Nolen Construction,Lynd Road,Grand Bay,Alabama,36541.0,"Lynd Road, Grand Bay, Alabama 36541.0",,
103399,Red Eagle,Construction Sand and Gravel,Active,8/13/2009,Surface,Red Eagle,1405 RED EAGLE ROAD ,MONTGOMERY,Alabama,36110.0,"1405 RED EAGLE ROAD , MONTGOMERY, Alabama 36110.0",,
