Mine ID,Mine Name_x,Street,City,State,Zip Code,Mine Name_y,Commodity,Mine Status,Status Date,Type of Mine
100611,Bowers And Burkette Pit,,,Alabama,,Bowers And Burkette Pit,Construction Sand and Gravel,Abandoned,5/22/1978,Surface
100612,Southland Pit,,,Alabama,,Southland Pit,Construction Sand and Gravel,Abandoned,9/29/1989,Surface
100616,Spruce Pine Sand & Gravel,710 Sandusky Rd.,Phil Campbell,Alabama,35581.0,Spruce Pine Sand & Gravel,Construction Sand and Gravel,Abandoned,1/8/2003,Surface
100619,Shorter Mine And Mill,,,Alabama,,Shorter Mine And Mill,Construction Sand and Gravel,Abandoned,9/15/1978,Surface
100622,Jemison Mine And Plant,910 Highway 38,Jemison,Alabama,35085.0,Jemison Mine And Plant,Construction Sand and Gravel,Abandoned,11/10/2015,Surface
100673,Trussville Pit,,,Alabama,,Trussville Pit,Construction Sand and Gravel,Abandoned,3/5/1979,Surface
100676,MT. MEIGS S&G,,,Alabama,,MT. MEIGS S&G,Construction Sand and Gravel,Abandoned,1/19/1999,Surface
100677,Johnson Pit,,,Alabama,,Johnson Pit,Construction Sand and Gravel,Abandoned,4/24/1979,Surface
100688,Hunter Bend Mine,,,Alabama,,Hunter Bend Mine,Construction Sand and Gravel,Abandoned,5/1/1979,Surface
100689,ESCAMBIA PITS,,,Alabama,,ESCAMBIA PITS,Construction Sand and Gravel,Abandoned,2/28/1997,Surface
100691,Henderson Dredge,,,Alabama,,Henderson Dredge,Construction Sand and Gravel,Abandoned,1/9/1978,Surface
100695,Jackson Creek Pit,,,Alabama,,Jackson Creek Pit,Construction Sand and Gravel,Abandoned,11/12/1982,Surface
100703,Garris Pit,Hwy 43 North,Leroy,Alabama,36548.0,Garris Pit,Construction Sand and Gravel,Abandoned,8/19/2008,Facility
100713,Silica Ii,,,Alabama,,Silica Ii,Construction Sand and Gravel,Abandoned,8/28/1987,Surface
100714,Waugh Plant,2301 Alexander Road,Waugh,Alabama,36064.0,Waugh Plant,Construction Sand and Gravel,Abandoned,7/29/2005,Surface
100718,Collins Pit,,,Alabama,,Collins Pit,Construction Sand and Gravel,Abandoned,1/30/1979,Surface
100719,GILMORE PIT,Hwy 41,Wallace,Alabama,36526.0,GILMORE PIT,Construction Sand and Gravel,Abandoned,2/19/2008,Surface
100752,Patton Pit Or Patton Pit & Crusher,,,Alabama,,Patton Pit Or Patton Pit & Crusher,Construction Sand and Gravel,Abandoned,8/19/1988,Surface
100774,Laidlaw Pit No I,,,Alabama,,Laidlaw Pit No I,Construction Sand and Gravel,Abandoned,5/21/1982,Surface
100843,Mobile Sand Pit,,,Alabama,,Mobile Sand Pit,Construction Sand and Gravel,Abandoned,8/6/1984,Surface
100844,H E Busby Pit,,,Alabama,,H E Busby Pit,Construction Sand and Gravel,Abandoned,10/8/1980,Surface
100884,Newton Pit,,,Alabama,,Newton Pit,Construction Sand and Gravel,Abandoned,3/15/1995,Surface
100894,Russellville Sand Pit,745 Sand Plant Road,Phil Campbell,Alabama,35581.0,Russellville Sand Pit,Construction Sand and Gravel,Abandoned,4/24/2009,Surface
100903,Milstead Pit And Plant,,,Alabama,,Milstead Pit And Plant,Construction Sand and Gravel,Abandoned,8/16/1985,Surface
100994,Tommy Graham Pit No 2,,,Alabama,,Tommy Graham Pit No 2,Construction Sand and Gravel,Abandoned,5/17/1978,Surface
100995,Snow Pit,,,Alabama,,Snow Pit,Construction Sand and Gravel,Abandoned,5/21/1982,Surface
100996,Tommy Graham Pit No 1 Camp No 1,,,Alabama,,Tommy Graham Pit No 1 Camp No 1,Construction Sand and Gravel,Abandoned,5/21/1982,Surface
101057,Little H Pit,,,Alabama,,Little H Pit,Construction Sand and Gravel,Abandoned,5/8/1979,Surface
101066,Connor Pit,,,Alabama,,Connor Pit,Construction Sand and Gravel,Abandoned,4/30/1981,Surface
101090,Dredge Shearwater,,,Alabama,,Dredge Shearwater,Construction Sand and Gravel,Abandoned,9/13/1993,Surface
101099,C & B Wagar Pit,,,Alabama,,C & B Wagar Pit,Construction Sand and Gravel,Abandoned,1/15/1991,Surface
101101,White Hall Pit Or White Hall Plant,,,Alabama,,White Hall Pit Or White Hall Plant,Construction Sand and Gravel,Abandoned,10/22/1982,Surface
101104,Old Alabama Pit,,,Alabama,,Old Alabama Pit,Construction Sand and Gravel,Abandoned,10/8/1982,Surface
101113,Sumter Sand & Gravel,,,Alabama,,Sumter Sand & Gravel,Construction Sand and Gravel,Abandoned,1/6/1994,Surface
101114,Elmore Pits,,,Alabama,,Elmore Pits,Construction Sand and Gravel,Abandoned,6/26/1978,Surface
101237,Pierce Pit & Plant,,,Alabama,,Pierce Pit & Plant,Construction Sand and Gravel,Abandoned,9/30/1988,Surface
101263,Laidlaw Pit No 2,,,Alabama,,Laidlaw Pit No 2,Construction Sand and Gravel,Abandoned,5/21/1982,Surface
101271,Beasley Pit,,,Alabama,,Beasley Pit,Construction Sand and Gravel,Abandoned,4/10/1978,Surface
101280,Bennett Pit,,,Alabama,,Bennett Pit,Construction Sand and Gravel,Abandoned,1/14/1983,Surface
101283,John H Maples Hauling Company Incorporat,,,Alabama,,John H Maples Hauling Company Incorporat,Construction Sand and Gravel,Abandoned,5/21/1982,Surface
101294,Riley Pit,,,Alabama,,Riley Pit,Construction Sand and Gravel,Abandoned,8/18/1986,Surface
101304,HOWELLS FERRY PIT,,,Alabama,,HOWELLS FERRY PIT,Construction Sand and Gravel,Abandoned,8/20/2001,Surface
101324,Mcconnell And Moore Pit,,,Alabama,,Mcconnell And Moore Pit,Construction Sand and Gravel,Abandoned,5/21/1982,Surface
101325,Joe Moore Pit,,,Alabama,,Joe Moore Pit,Construction Sand and Gravel,Abandoned,5/21/1982,Surface
101353,WALTER WEST DREDGE,,,Alabama,,WALTER WEST DREDGE,Construction Sand and Gravel,Abandoned,4/7/1998,Surface
101397,Nicholson Pit,,,Alabama,,Nicholson Pit,Construction Sand and Gravel,Abandoned,9/20/1978,Surface
101412,BAKER TERMINAL,,,Alabama,,BAKER TERMINAL,Construction Sand and Gravel,Abandoned,10/1/2002,Surface
101426,Pierre Dredge,,,Alabama,,Pierre Dredge,Construction Sand and Gravel,Abandoned,12/16/1980,Surface
101460,Repton Pit,,,Alabama,,Repton Pit,Construction Sand and Gravel,Abandoned,4/3/1979,Surface
101503,Whorton Bend Pit,,,Alabama,,Whorton Bend Pit,Construction Sand and Gravel,Abandoned,8/28/1978,Surface
101523,Robison Mine And Mill,,,Alabama,,Robison Mine And Mill,Construction Sand and Gravel,Abandoned,4/21/1980,Surface
101524,Mixon Pit,,,Alabama,,Mixon Pit,Construction Sand and Gravel,Abandoned,7/28/1981,Surface
101538,Alabama Washer,,,Alabama,,Alabama Washer,Construction Sand and Gravel,Abandoned,1/10/1978,Surface
101540,Pit No 1,,,Alabama,,Pit No 1,Construction Sand and Gravel,Abandoned,5/8/1979,Surface
101571,Cooper Materials Incorporated,,,Alabama,,Cooper Materials Incorporated,Construction Sand and Gravel,Abandoned,12/21/1978,Surface
101572,Hargett Pit,,,Alabama,,Hargett Pit,Construction Sand and Gravel,Abandoned,8/14/1981,Surface
101642,Gann Pit,,,Alabama,,Gann Pit,Construction Sand and Gravel,Abandoned,4/24/1979,Surface
101695,JACKSON PIT,,,Alabama,,JACKSON PIT,Construction Sand and Gravel,Abandoned,10/22/1999,Surface
101714,Froggy Bottom Pit And Plant,,,Alabama,,Froggy Bottom Pit And Plant,Construction Sand and Gravel,Abandoned,6/30/1978,Surface
101719,Bell Pit,,,Alabama,,Bell Pit,Construction Sand and Gravel,Abandoned,8/31/1982,Surface
101723,Carroll Pit,,,Alabama,,Carroll Pit,Construction Sand and Gravel,Abandoned,5/6/1980,Surface
101724,Hubberville Plant And Pit,,,Alabama,,Hubberville Plant And Pit,Construction Sand and Gravel,Abandoned,6/29/1979,Surface
101725,Holiday Pit,,,Alabama,,Holiday Pit,Construction Sand and Gravel,Abandoned,10/6/1982,Surface
101751,Holly Or Holley Pit,,,Alabama,,Holly Or Holley Pit,Construction Sand and Gravel,Abandoned,8/27/1984,Surface
101753,Thetford Pit,,,Alabama,,Thetford Pit,Construction Sand and Gravel,Abandoned,8/31/1982,Surface
101781,No 1 Pit,,,Alabama,,No 1 Pit,Construction Sand and Gravel,Abandoned,7/31/1978,Surface
101790,Mitylene Pit,,,Alabama,,Mitylene Pit,Construction Sand and Gravel,Abandoned,8/25/1989,Surface
101798,Ward Pit,,,Alabama,,Ward Pit,Construction Sand and Gravel,Abandoned,12/29/1980,Surface
101826,Pit No 1,,,Alabama,,Pit No 1,Construction Sand and Gravel,Abandoned,7/30/1981,Surface
101832,Pettis Pit,Pettis Lane,Wallace,Alabama,36426.0,Pettis Pit,Construction Sand and Gravel,Abandoned,1/27/2020,Surface
101838,Sand Plant,,,Alabama,,Sand Plant,Construction Sand and Gravel,Abandoned,7/28/1988,Surface
101841,Osborn Pit No I,,,Alabama,,Osborn Pit No I,Construction Sand and Gravel,Abandoned,10/22/1982,Surface
101893,#1 DREDGE,,,Alabama,,#1 DREDGE,Construction Sand and Gravel,Abandoned,4/28/2004,Surface
101979,Laidlaw Pit No 3,,,Alabama,,Laidlaw Pit No 3,Construction Sand and Gravel,Abandoned,5/21/1982,Surface
101982,Nichols Material,,,Alabama,,Nichols Material,Construction Sand and Gravel,Abandoned,2/15/1983,Surface
101984,Monroe Concrete,,,Alabama,,Monroe Concrete,Construction Sand and Gravel,Abandoned,7/31/1979,Surface
101997,Monroe Concrete Pit,,,Alabama,,Monroe Concrete Pit,Construction Sand and Gravel,Abandoned,3/6/1981,Surface
102006,Evans Pit,,,Alabama,,Evans Pit,Construction Sand and Gravel,Abandoned,10/1/1979,Surface
102007,Wares Ferry Road Pit,,,Alabama,,Wares Ferry Road Pit,Construction Sand and Gravel,Abandoned,11/22/1982,Surface
102008,Bulk Materials Plant,,,Alabama,,Bulk Materials Plant,Construction Sand and Gravel,Abandoned,10/18/1982,Surface
102009,Dearman Mining And Dredging,,,Alabama,,Dearman Mining And Dredging,Construction Sand and Gravel,Abandoned,11/22/1982,Surface
102010,Kendrick Pit,,,Alabama,,Kendrick Pit,Construction Sand and Gravel,Abandoned,10/25/1982,Surface
102018,Number 2 Pit,,,Alabama,,Number 2 Pit,Construction Sand and Gravel,Abandoned,2/25/1980,Surface
102027,Mid South Sand And Gravel Incorporated,,,Alabama,,Mid South Sand And Gravel Incorporated,Construction Sand and Gravel,Abandoned,8/31/1979,Surface
102040,Parker 1,,,Alabama,,Parker 1,Construction Sand and Gravel,Abandoned,2/3/1983,Surface
102041,Booth,,,Alabama,,Booth,Construction Sand and Gravel,Abandoned,4/6/1989,Surface
102042,Coosada Ferry Pit,,,Alabama,,Coosada Ferry Pit,Construction Sand and Gravel,Abandoned,12/14/1982,Surface
102047,Becker Sand & Gravel Tyler Plant,,,Alabama,,Becker Sand & Gravel Tyler Plant,Construction Sand and Gravel,Abandoned,3/20/1984,Surface
102051,Pit No 1,,,Alabama,,Pit No 1,Construction Sand and Gravel,Abandoned,4/15/1981,Surface
102070,Austin Pit,,,Alabama,,Austin Pit,Construction Sand and Gravel,Abandoned,11/4/1985,Surface
102091,Finch Pit,,,Alabama,,Finch Pit,Construction Sand and Gravel,Abandoned,2/26/1981,Surface
102093,BALDWIN SAND & GRAVEL - PIT #4,,,Alabama,,BALDWIN SAND & GRAVEL - PIT #4,Construction Sand and Gravel,Abandoned,2/1/2000,Surface
102094,Nectar Pit,,,Alabama,,Nectar Pit,Construction Sand and Gravel,Abandoned,12/3/1982,Surface
102099,Pit No 1,,,Alabama,,Pit No 1,Construction Sand and Gravel,Abandoned,4/17/1989,Surface
102100,Paul Pit,,,Alabama,,Paul Pit,Construction Sand and Gravel,Abandoned,10/22/1984,Surface
102104,Hyatt Pit,,,Alabama,,Hyatt Pit,Construction Sand and Gravel,Abandoned,4/2/1984,Surface
102105,Goodway Pit,,,Alabama,,Goodway Pit,Construction Sand and Gravel,Abandoned,7/7/1981,Surface
102106,Conecuh Pit,,,Alabama,,Conecuh Pit,Construction Sand and Gravel,Abandoned,5/9/1988,Surface
102108,Plant No 2,,,Alabama,,Plant No 2,Construction Sand and Gravel,Abandoned,6/30/1980,Surface
102125,Pit No 1,,,Alabama,,Pit No 1,Construction Sand and Gravel,Abandoned,3/22/1988,Surface
102133,Gulf States Pit,,,Alabama,,Gulf States Pit,Construction Sand and Gravel,Abandoned,6/3/1985,Surface
102139,D & J Sand & Gravel,,,Alabama,,D & J Sand & Gravel,Construction Sand and Gravel,Abandoned,11/14/1988,Surface
102141,Pit No 1 Or Hamilton Pit,,,Alabama,,Pit No 1 Or Hamilton Pit,Construction Sand and Gravel,Abandoned,5/21/1981,Surface
102157,Argo Pit,,,Alabama,,Argo Pit,Construction Sand and Gravel,Abandoned,5/12/1980,Surface
102168,Ballplay,,,Alabama,,Ballplay,Construction Sand and Gravel,Abandoned,10/30/1996,Surface
102171,OXFORD CRUSHER,,,Alabama,,OXFORD CRUSHER,Construction Sand and Gravel,Abandoned,11/3/1998,Facility
102179,Parker Pit,,,Alabama,,Parker Pit,Construction Sand and Gravel,Abandoned,8/1/1980,Surface
102195,Smith Pit,,,Alabama,,Smith Pit,Construction Sand and Gravel,Abandoned,5/25/1989,Surface
102196,CHATTAHOOCHEE PIT,Hwy. 95,Columbia,Alabama,36319.0,CHATTAHOOCHEE PIT,Construction Sand and Gravel,Abandoned,10/22/2007,Surface
102199,Jackson Pit No 2,,,Alabama,,Jackson Pit No 2,Construction Sand and Gravel,Abandoned,7/8/1981,Surface
102200,Robison Mine & Mill,3036 Dinky Line Road,Detroit,Alabama,35552.0,Robison Mine & Mill,Construction Sand and Gravel,Abandoned,9/6/2023,Surface
102203,Lenox No 1,,,Alabama,,Lenox No 1,Construction Sand and Gravel,Abandoned,11/17/1980,Surface
102204,Ivey Pit,,,Alabama,,Ivey Pit,Construction Sand and Gravel,Abandoned,1/17/1986,Surface
102209,Chapman Pit,,,Alabama,,Chapman Pit,Construction Sand and Gravel,Abandoned,6/30/1990,Surface
102238,Plantersville Pit,,,Alabama,,Plantersville Pit,Construction Sand and Gravel,Abandoned,6/9/1995,Surface
102239,NICHOLS PLANT,,,Alabama,,NICHOLS PLANT,Construction Sand and Gravel,Abandoned,11/18/1996,Surface
102247,Riverside Materials,,,Alabama,,Riverside Materials,Construction Sand and Gravel,Abandoned,11/22/1982,Surface
102256,Bragan Pit,,,Alabama,,Bragan Pit,Construction Sand and Gravel,Abandoned,10/26/1981,Surface
102262,Wallace Pit,,,Alabama,,Wallace Pit,Construction Sand and Gravel,Abandoned,9/8/1982,Surface
102283,Pit No 3,,,Alabama,,Pit No 3,Construction Sand and Gravel,Abandoned,1/28/1985,Surface
102289,Crawford Pit,,,Alabama,,Crawford Pit,Construction Sand and Gravel,Abandoned,11/11/1981,Surface
102291,Jacop Pit,,,Alabama,,Jacop Pit,Construction Sand and Gravel,Abandoned,4/2/1984,Surface
102314,Shine Pit,,,Alabama,,Shine Pit,Construction Sand and Gravel,Abandoned,12/7/1984,Surface
102325,White Chert Pit,,,Alabama,,White Chert Pit,Construction Sand and Gravel,Abandoned,6/1/1993,Surface
102326,Selma Plant #2,,,Alabama,,Selma Plant #2,Construction Sand and Gravel,Abandoned,12/7/1984,Surface
102340,Pit No 4,,,Alabama,,Pit No 4,Construction Sand and Gravel,Abandoned,7/27/1987,Surface
102342,Beasley Pit,,,Alabama,,Beasley Pit,Construction Sand and Gravel,Abandoned,8/30/1985,Surface
102356,Gulf States Crusher,,,Alabama,,Gulf States Crusher,Construction Sand and Gravel,Abandoned,10/21/1982,Surface
102358,Calera Plant,,,Alabama,,Calera Plant,Construction Sand and Gravel,Abandoned,10/11/1988,Surface
102366,Bunn Plant Or Plant Operation,,,Alabama,,Bunn Plant Or Plant Operation,Construction Sand and Gravel,Abandoned,6/3/1985,Surface
102367,Couch Pit,,,Alabama,,Couch Pit,Construction Sand and Gravel,Abandoned,8/31/1982,Surface
102376,St Regis Pit,,,Alabama,,St Regis Pit,Construction Sand and Gravel,Abandoned,1/26/1996,Surface
102387,Sharpe No 1,,,Alabama,,Sharpe No 1,Construction Sand and Gravel,Abandoned,10/19/1984,Surface
102396,Shorter Plant,,,Alabama,,Shorter Plant,Construction Sand and Gravel,Abandoned,6/25/1990,Surface
102398,Beers Pit,,,Alabama,,Beers Pit,Construction Sand and Gravel,Abandoned,12/5/1994,Surface
102503,Tooson Pit,,,Alabama,,Tooson Pit,Construction Sand and Gravel,Abandoned,9/21/1989,Surface
102504,Pit No 1,,,Alabama,,Pit No 1,Construction Sand and Gravel,Abandoned,7/15/1987,Surface
102507,MIMS PIT,,,Alabama,,MIMS PIT,Construction Sand and Gravel,Abandoned,6/19/1987,Surface
102516,Dees Pit,,,Alabama,,Dees Pit,Construction Sand and Gravel,Abandoned,11/18/1982,Surface
102522,Odom Pit,,,Alabama,,Odom Pit,Construction Sand and Gravel,Abandoned,6/30/1987,Surface
102524,Parker No 2,,,Alabama,,Parker No 2,Construction Sand and Gravel,Abandoned,6/1/1987,Surface
102525,Bromley Pit,,,Alabama,,Bromley Pit,Construction Sand and Gravel,Abandoned,6/15/1987,Surface
102526,Stacy Pit,,,Alabama,,Stacy Pit,Construction Sand and Gravel,Abandoned,6/15/1987,Surface
102528,CHAMPION PIT #2,,,Alabama,,CHAMPION PIT #2,Construction Sand and Gravel,Abandoned,2/3/2000,Surface
102529,Atmore Sand and Gravel,1090 Old Jack Spings Rd.,Atmore,Alabama,36502.0,Atmore Sand and Gravel,Construction Sand and Gravel,Abandoned,1/25/2013,Surface
102530,LENOX PIT,,,Alabama,,LENOX PIT,Construction Sand and Gravel,Abandoned,11/13/1996,Surface
102531,Weekly Pit,,,Alabama,,Weekly Pit,Construction Sand and Gravel,Abandoned,4/2/1984,Surface
102535,SIMS PIT,,,Alabama,,SIMS PIT,Construction Sand and Gravel,Abandoned,7/22/1998,Surface
102541,Jackson Pit,,,Alabama,,Jackson Pit,Construction Sand and Gravel,Abandoned,3/25/1985,Surface
102542,Nalls Pit,,,Alabama,,Nalls Pit,Construction Sand and Gravel,Abandoned,8/26/1985,Surface
102546,Melton Pit,,,Alabama,,Melton Pit,Construction Sand and Gravel,Abandoned,7/1/1986,Surface
102547,Montgomery Asphalt Plant,,,Alabama,,Montgomery Asphalt Plant,Construction Sand and Gravel,Abandoned,4/27/1987,Surface
102557,Miller Pit,,,Alabama,,Miller Pit,Construction Sand and Gravel,Abandoned,6/2/1986,Surface
102562,Franklin Pit,,,Alabama,,Franklin Pit,Construction Sand and Gravel,Abandoned,5/12/1994,Surface
102563,Winfield Yard,700 Blue Ridge Rd,Winfield,Alabama,35594.0,Winfield Yard,Construction Sand and Gravel,Abandoned,1/6/2014,Surface
102571,Baker Pit,,,Alabama,,Baker Pit,Construction Sand and Gravel,Abandoned,5/18/1987,Surface
102573,Coastal Asphalt & Construction Incorpora,,,Alabama,,Coastal Asphalt & Construction Incorpora,Construction Sand and Gravel,Abandoned,9/21/1988,Surface
102581,Beers Pit No 2,,,Alabama,,Beers Pit No 2,Construction Sand and Gravel,Abandoned,11/6/1990,Surface
102587,Scott Callen Sand & Gravel,879 US Hwy 80 East,Lowndes,Alabama,36752.0,Scott Callen Sand & Gravel,Construction Sand and Gravel,Abandoned,3/27/2012,Surface
102597,Slay Pit,,,Alabama,,Slay Pit,Construction Sand and Gravel,Abandoned,8/22/1988,Surface
102599,Selma Plant,,,Alabama,,Selma Plant,Construction Sand and Gravel,Abandoned,11/27/1989,Surface
102603,Temerson Pit,,,Alabama,,Temerson Pit,Construction Sand and Gravel,Abandoned,7/22/1986,Surface
102642,BRADFORD GRAVEL PIT,Kansas Road,Grove Hill,Alabama,36541.0,BRADFORD GRAVEL PIT,Construction Sand and Gravel,Abandoned,5/13/2004,Surface
102643,Goodway Pit,,,Alabama,,Goodway Pit,Construction Sand and Gravel,Abandoned,2/3/1986,Facility
102646,MCLEMORE PIT,,,Alabama,,MCLEMORE PIT,Construction Sand and Gravel,Abandoned,11/8/1996,Surface
102655,Macon Quarters Pit,,,Alabama,,Macon Quarters Pit,Construction Sand and Gravel,Abandoned,3/30/1990,Surface
102661,Cherry Hill,,,Alabama,,Cherry Hill,Construction Sand and Gravel,Abandoned,5/30/1986,Surface
102664,Mc Duffie Island Sand & Gravel,,,Alabama,,Mc Duffie Island Sand & Gravel,Construction Sand and Gravel,Abandoned,4/15/1993,Facility
102668,ALICEVILLE PIT,,,Alabama,,ALICEVILLE PIT,Construction Sand and Gravel,Abandoned,9/5/2002,Surface
102669,Howton,,,Alabama,,Howton,Construction Sand and Gravel,Abandoned,4/19/1996,Surface
102676,Thomas,,,Alabama,,Thomas,Construction Sand and Gravel,Abandoned,8/26/1986,Surface
102677,Pinkston,,,Alabama,,Pinkston,Construction Sand and Gravel,Abandoned,4/27/1987,Surface
102680,Zimmerman Pit,,,Alabama,,Zimmerman Pit,Construction Sand and Gravel,Abandoned,7/28/1987,Surface
102681,Century Gravel,,,Alabama,,Century Gravel,Construction Sand and Gravel,Abandoned,3/3/1994,Surface
102688,Wisener,,,Alabama,,Wisener,Construction Sand and Gravel,Abandoned,5/25/1994,Surface
102691,Abrasive Products Mobile Plant,,,Alabama,,Abrasive Products Mobile Plant,Construction Sand and Gravel,Abandoned,3/31/1995,Facility
102694,Selma,,,Alabama,,Selma,Construction Sand and Gravel,Abandoned,7/22/1991,Surface
102696,Pit #1,,,Alabama,,Pit #1,Construction Sand and Gravel,Abandoned,9/11/1992,Surface
102701,Doe Run Pit,,,Alabama,,Doe Run Pit,Construction Sand and Gravel,Abandoned,8/2/1991,Surface
102703,Lenox Pit,,,Alabama,,Lenox Pit,Construction Sand and Gravel,Abandoned,1/26/1996,Surface
102705,Huntsville Sand & Lime,,,Alabama,,Huntsville Sand & Lime,Construction Sand and Gravel,Abandoned,3/15/1993,Surface
102712,Pit No 1,,,Alabama,,Pit No 1,Construction Sand and Gravel,Abandoned,1/12/1993,Surface
102718,Brewton Sand & Gravel Incorporated,,,Alabama,,Brewton Sand & Gravel Incorporated,Construction Sand and Gravel,Abandoned,1/10/1994,Surface
102722,Greer Sand And Gravel,,,Alabama,,Greer Sand And Gravel,Construction Sand and Gravel,Abandoned,6/25/1990,Surface
102733,H & H Sand And Gravel,,,Alabama,,H & H Sand And Gravel,Construction Sand and Gravel,Abandoned,7/31/1987,Surface
102735,Mosley Pit,,,Alabama,,Mosley Pit,Construction Sand and Gravel,Abandoned,4/10/1989,Surface
102739,Linden Pit,,,Alabama,,Linden Pit,Construction Sand and Gravel,Abandoned,4/3/1989,Surface
102741,Rowland Gravel Pit,,,Alabama,,Rowland Gravel Pit,Construction Sand and Gravel,Abandoned,5/15/1989,Surface
102742,Lenox Pit,,,Alabama,,Lenox Pit,Construction Sand and Gravel,Abandoned,5/10/1988,Surface
102747,SHAVER SAND AND GRAVEL PIT,,,Alabama,,SHAVER SAND AND GRAVEL PIT,Construction Sand and Gravel,Abandoned,1/1/1997,Surface
102749,Mc Millan Pit,,,Alabama,,Mc Millan Pit,Construction Sand and Gravel,Abandoned,5/10/1988,Surface
102750,Wiggins Pit,,,Alabama,,Wiggins Pit,Construction Sand and Gravel,Abandoned,4/17/1989,Surface
102751,J E Bradford Pit,,,Alabama,,J E Bradford Pit,Construction Sand and Gravel,Abandoned,3/31/1993,Surface
102752,Brown Pit,,,Alabama,,Brown Pit,Construction Sand and Gravel,Abandoned,12/20/1989,Surface
102754,Black Widow Resources,,,Alabama,,Black Widow Resources,Construction Sand and Gravel,Abandoned,6/30/1988,Surface
102757,Plaster Mine,2501 Fulton Drive,Autaugaville,Alabama,36003.0,Plaster Mine,Construction Sand and Gravel,Abandoned,5/20/2020,Surface
102758,Dozier Pit,,,Alabama,,Dozier Pit,Construction Sand and Gravel,Abandoned,8/24/1994,Surface
102762,SELDEN PIT,,,Alabama,,SELDEN PIT,Construction Sand and Gravel,Abandoned,6/23/1998,Surface
102784,Reeder Pit,,,Alabama,,Reeder Pit,Construction Sand and Gravel,Abandoned,8/15/1989,Surface
102789,EDSU PIT,,,Alabama,,EDSU PIT,Construction Sand and Gravel,Abandoned,2/5/2001,Surface
102793,MONTGOMERY CRUSHER,,,Alabama,,MONTGOMERY CRUSHER,Construction Sand and Gravel,Abandoned,2/11/2000,Surface
102794,Boe Road Pit,Boe Road,St Elmo,Alabama,36568.0,Boe Road Pit,Construction Sand and Gravel,Abandoned,10/4/2021,Surface
102795,Pit #1,,,Alabama,,Pit #1,Construction Sand and Gravel,Abandoned,4/13/1993,Surface
102796,Clarke Pit,,,Alabama,,Clarke Pit,Construction Sand and Gravel,Abandoned,10/7/1995,Surface
102803,Jackson Creek,,,Alabama,,Jackson Creek,Construction Sand and Gravel,Abandoned,2/13/1990,Surface
102804,HUNTSVILLE GRAVEL CO.,,,Alabama,,HUNTSVILLE GRAVEL CO.,Construction Sand and Gravel,Abandoned,9/30/2002,Facility
102805,Pit #1,,,Alabama,,Pit #1,Construction Sand and Gravel,Abandoned,10/10/1990,Surface
